Planet Name,Planet Radius [Earth Radius],Duration of a day (hours),Planetary Type,Has Biosphere,Discovery Year,Star Name
61 Vir b,2.11,77.95,Proto Planet,0,2009,61 Vir
61 Vir c,4.46,70.63,Chthonian Planet,0,2009,61 Vir
61 Vir d,5.11,34.18,Gas Giant,1,2009,61 Vir
7 CMa b,13.4,35.35,Gas Giant,1,2011,7 CMa
7 CMa c,13.9,90.39,Dwarf Planet,0,2019,7 CMa
70 Vir b,12.6,119.31,Chthonian Planet,0,1996,70 Vir
75 Cet b,13.3,10.73,Gas Giant,0,2012,75 Cet
75 Cet c,13.9,44.72,Gas Giant,0,2023,75 Cet
8 UMi b,13.6,87.7,Chthonian Planet,0,2015,8 UMi
81 Cet b,13.1,81.25,Proto Planet,1,2008,81 Cet
91 Aqr b,13.1,52.17,Ice Giant,1,2013,91 Aqr
AB Aur b,12.5,72.15,Proto Planet,1,2022,AB Aur
AB Pic b,12.3,14.35,Dwarf Planet,1,2005,AB Pic
AF Lep b,13.1,47.78,Chthonian Planet,0,2023,AF Lep
AU Mic b,3.957,18.35,Proto Planet,0,2020,AU Mic
AU Mic c,2.522,10.35,Gas Giant,1,2021,AU Mic
AU Mic d,1.02,83.65,Gas Giant,0,2023,AU Mic
BD+03 2562 b,12.7,98.21,Gas Giant,1,2017,BD+03 2562
BD+14 4559 b,13.8,82.44,Dwarf Planet,1,2009,BD+14 4559
BD+15 2375 b,13.8,32.96,Garden World,1,2016,BD+15 2375
BD+15 2940 b,13.7,80.5,Gas Giant,0,2013,BD+15 2940
BD+20 2457 b,12.1,50.9,Gas Giant,0,2009,BD+20 2457
BD+20 2457 c,12.4,7.21,Proto Planet,1,2009,BD+20 2457
BD+20 274 b,13,118.54,Gas Giant,0,2012,BD+20 274
BD+20 594 b,2.578,107.52,Chthonian Planet,1,2016,BD+20 594
BD+45 564 b,13.6,76.95,Dwarf Planet,1,2021,BD+45 564
BD+48 738 b,13.9,96.76,Proto Planet,1,2011,BD+48 738
BD+48 740 b,13.5,54.19,Chthonian Planet,1,2018,BD+48 740
BD+49 828 b,13.5,7.64,Garden World,1,2015,BD+49 828
BD+55 362 b,14,62.3,Proto Planet,1,2021,BD+55 362
BD+60 1417 b,14.684,15.18,Gas Giant,0,2021,BD+60 1417
BD+63 1405 b,12.4,32.66,Gas Giant,0,2021,BD+63 1405
BD-06 1339 b,2.85,83.44,Dwarf Planet,1,2013,BD-06 1339
BD-06 1339 c,8.38,18.96,Dwarf Planet,0,2013,BD-06 1339
BD-08 2823 b,3.61,98.89,Garden World,0,2009,BD-08 2823
BD-08 2823 c,12.5,46.85,Ice Giant,0,2009,BD-08 2823
BD-10 3166 b,14.1,56.17,Proto Planet,0,2000,BD-10 3166
BD-11 4672 b,14.1,87.35,Garden World,0,2014,BD-11 4672
BD-11 4672 c,4.04,113.89,Proto Planet,1,2020,BD-11 4672
BD-13 2130 b,12.5,16.02,Dwarf Planet,1,2007,BD-13 2130
BD-14 3065 b,21.59,102.85,Dwarf Planet,0,2024,BD-14 3065
BD-17 63 b,12.8,24.69,Dwarf Planet,1,2008,BD-17 63
BD-210397 b,14,38.63,Gas Giant,0,2023,BD-210397
BD-210397 c,12.9,2.07,Dwarf Planet,0,2023,BD-210397
Barnard b,0.764,104.66,Dwarf Planet,0,2024,Barnard's star
CD Cet b,1.82,7.08,Dwarf Planet,1,2020,CD Cet
CFBDSIR J145829+101343 b,12.4,77.09,Ice Giant,1,2011,CFBDSIR J145829+101343
CFHTWIR-Oph 98 b,20.849,31.67,Proto Planet,1,2021,CFHTWIR-Oph 98
CHXR 73 b,12.3,0.38,Ice Giant,0,2006,CHXR 73
CI Tau c,13,61.78,Gas Giant,1,2024,CI Tau
COCONUTS-2 b,12.442,51.67,Proto Planet,1,2021,COCONUTS-2
CT Cha b,24.66,64.54,Proto Planet,0,2007,CT Cha
CoRoT-1 b,16.7,72.48,Ice Giant,0,2008,CoRoT-1
CoRoT-10 b,10.87,87.18,Chthonian Planet,1,2010,CoRoT-10
CoRoT-11 b,16.03,59.91,Gas Giant,1,2010,CoRoT-11
CoRoT-12 b,16.14,27.75,Dwarf Planet,0,2010,CoRoT-12
CoRoT-13 b,9.92,83.21,Gas Giant,1,2010,CoRoT-13
CoRoT-14 b,12.22,14.13,Ice Giant,0,2010,CoRoT-14
CoRoT-16 b,13.11,3.27,Proto Planet,1,2011,CoRoT-16
CoRoT-17 b,11.43,22.68,Ice Giant,0,2011,CoRoT-17
CoRoT-18 b,14.68,17.61,Proto Planet,0,2011,CoRoT-18
CoRoT-19 b,14.46,32.39,Proto Planet,0,2011,CoRoT-19
CoRoT-2 b,16.432,92.97,Dwarf Planet,1,2008,CoRoT-2
CoRoT-20 b,9.416,1.05,Ice Giant,1,2011,CoRoT-20
CoRoT-20 c,12.2,114.88,Dwarf Planet,0,2018,CoRoT-20
CoRoT-21 b,14.572,21.13,Gas Giant,0,2012,CoRoT-21
CoRoT-22 b,4.88,88.39,Dwarf Planet,0,2014,CoRoT-22
CoRoT-23 b,11.77,121,Ice Giant,1,2011,CoRoT-23
CoRoT-24 b,3.7,93.94,Gas Giant,0,2014,CoRoT-24
CoRoT-24 c,5,87.57,Chthonian Planet,1,2014,CoRoT-24
CoRoT-25 b,12.11,35.1,Dwarf Planet,1,2013,CoRoT-25
CoRoT-26 b,14.12,31.18,Proto Planet,1,2013,CoRoT-26
CoRoT-27 b,11.287,67,Gas Giant,1,2014,CoRoT-27
CoRoT-28 b,10.705,64.38,Garden World,1,2015,CoRoT-28
CoRoT-29 b,10.088,4.84,Proto Planet,1,2015,CoRoT-29
CoRoT-3 b,11.32,120.62,Proto Planet,1,2008,CoRoT-3
CoRoT-30 b,11.31,53.12,Gas Giant,0,2020,CoRoT-30
CoRoT-31 b,16.365,117.4,Ice Giant,0,2020,CoRoT-31
CoRoT-35 b,18.831,23.45,Dwarf Planet,1,2022,CoRoT-35
CoRoT-36 b,15.805,29.13,Proto Planet,0,2022,CoRoT-36
CoRoT-4 b,13.34,70.22,Dwarf Planet,1,2008,CoRoT-4
CoRoT-5 b,15.558,106.53,Gas Giant,0,2009,CoRoT-5
CoRoT-6 b,13.068,77.09,Dwarf Planet,0,2009,CoRoT-6
CoRoT-7 b,1.681,3.63,Gas Giant,1,2009,CoRoT-7
CoRoT-7 c,2.83,14.68,Dwarf Planet,0,2009,CoRoT-7
CoRoT-7 d,4.31,48.42,Proto Planet,0,2022,CoRoT-7
CoRoT-8 b,6.39,106.48,Garden World,1,2010,CoRoT-8
CoRoT-9 b,11.949,31.45,Chthonian Planet,0,2009,CoRoT-9
CoRoTID 223977153 b,6.389,18.6,Chthonian Planet,1,2017,CoRoTID 223977153
DE CVn b,12.4,30.82,Proto Planet,1,2018,DE CVn
DENIS-P J082303.1-491201 b,11.9,107.78,Garden World,1,2013,DENIS-P J082303.1-491201
DH Tau b,30.264,65.81,Chthonian Planet,0,2004,DH Tau
DMPP-1 b,5.29,116.61,Dwarf Planet,0,2019,DMPP-1
DMPP-1 c,3.06,31.58,Proto Planet,1,2019,DMPP-1
DMPP-1 d,1.65,110.89,Garden World,1,2019,DMPP-1
DMPP-1 e,1.86,23.24,Garden World,0,2019,DMPP-1
DMPP-2 b,14.3,68.86,Gas Giant,1,2019,DMPP-2
DMPP-3 A b,1.41,54.32,Dwarf Planet,0,2019,DMPP-3
DMPP-4 b,3.53,11.98,Ice Giant,0,2023,DMPP-4
DP Leo b,12.7,45.39,Garden World,0,2009,DP Leo
DS Tuc A b,5.7,31.25,Ice Giant,0,2019,DS Tuc
EPIC 201170410.02,1.047,81.8,Garden World,1,2020,EPIC 201170410
EPIC 201238110 b,1.87,52.52,Ice Giant,1,2019,EPIC 201238110
EPIC 201427007 b,1.5,112.74,Gas Giant,1,2021,EPIC 201427007
EPIC 201497682 b,0.692,79.85,Dwarf Planet,0,2019,EPIC 201497682
EPIC 201595106 b,1.565,83.71,Chthonian Planet,0,2021,EPIC 201595106
EPIC 201615463 c,1.22,78.64,Proto Planet,0,2019,K2-166
EPIC 201754305 d,1.03,67.14,Proto Planet,0,2019,K2-16
EPIC 201757695.02,0.908,12.13,Gas Giant,1,2020,EPIC 201757695
EPIC 201833600 c,1,46.34,Dwarf Planet,1,2019,K2-50
EPIC 201841433 b,1.04,58.87,Proto Planet,1,2019,EPIC 201841433
EPIC 205950854 c,1.31,55.02,Garden World,1,2019,K2-168
EPIC 206024342 b,1.7,18.45,Proto Planet,1,2019,EPIC 206024342
EPIC 206024342 c,1.4,49.88,Chthonian Planet,1,2021,EPIC 206024342
EPIC 206024342 d,2.6,27.2,Ice Giant,0,2021,EPIC 206024342
EPIC 206032309 b,1.01,88.36,Chthonian Planet,0,2019,EPIC 206032309
EPIC 206042996 b,1.7,89.01,Proto Planet,0,2019,EPIC 206042996
EPIC 206042996 c,1.2,93.95,Gas Giant,1,2021,EPIC 206042996
EPIC 206215704 b,1,48.66,Ice Giant,0,2019,EPIC 206215704
EPIC 206317286 b,0.96,33.24,Dwarf Planet,0,2019,EPIC 206317286
EPIC 206317286 c,2.094,117.57,Garden World,0,2022,EPIC 206317286
EPIC 211822797 b,1.92,117.19,Dwarf Planet,0,2016,EPIC 211822797
EPIC 211945201 b,5.76,51.95,Ice Giant,1,2018,EPIC 211945201
EPIC 212297394 b,1.48,36.96,Garden World,1,2019,EPIC 212297394
EPIC 212297394 c,2.27,55.6,Gas Giant,1,2021,EPIC 212297394
EPIC 212424622 b,2.17,97.21,Chthonian Planet,0,2019,EPIC 212424622
EPIC 212499991 b,1.6,33.7,Dwarf Planet,1,2019,EPIC 212499991
EPIC 212587672 b,1.26,49.09,Ice Giant,0,2019,EPIC 212587672
EPIC 212587672 c,2.32,8.2,Garden World,0,2021,EPIC 212587672
EPIC 212624936 b,1.2,87.94,Ice Giant,1,2021,EPIC 212624936
EPIC 212624936 c,2.3,112.58,Dwarf Planet,1,2021,EPIC 212624936
EPIC 212737443 b,2.586,60.77,Gas Giant,0,2019,EPIC 212737443
EPIC 212737443 c,2.69,12.52,Proto Planet,1,2019,EPIC 212737443
EPIC 220492298 b,0.99,103.06,Chthonian Planet,0,2021,EPIC 220492298
EPIC 220554210 c,1.6,95.67,Proto Planet,0,2019,K2-282
EPIC 220674823 b,1.725,20.05,Ice Giant,1,2016,EPIC 220674823
EPIC 220674823 c,2.836,68.97,Gas Giant,1,2016,EPIC 220674823
EPIC 228836835 b,1.1,98.93,Dwarf Planet,1,2021,EPIC 228836835
EPIC 229004835 b,2.332,39.26,Chthonian Planet,1,2023,EPIC 229004835
EPIC 246851721 b,11.781,75.34,Gas Giant,1,2018,EPIC 246851721
EPIC 248847494 b,12.442,17.7,Gas Giant,0,2018,EPIC 248847494
EPIC 249893012 b,1.95,79.87,Dwarf Planet,1,2020,EPIC 249893012
EPIC 249893012 c,3.67,120.03,Garden World,1,2020,EPIC 249893012
EPIC 249893012 d,3.94,13.11,Dwarf Planet,1,2020,EPIC 249893012
FU Tau b,12.2,61.59,Gas Giant,1,2008,FU Tau
G 196-3 b,12,61.47,Dwarf Planet,0,2024,G 196-3
G 264-012 b,1.39,44.67,Proto Planet,0,2021,G 264-012
G 264-012 c,1.76,71.36,Ice Giant,0,2021,G 264-012
G 9-40 b,1.9,67.17,Ice Giant,1,2019,G 9-40
GJ 1002 b,1.03,86.5,Proto Planet,1,2022,GJ 1002
GJ 1002 c,1.1,18.08,Chthonian Planet,0,2022,GJ 1002
GJ 1061 b,1.1,11.64,Ice Giant,0,2020,GJ 1061
GJ 1061 c,1.18,2.22,Ice Giant,0,2020,GJ 1061
GJ 1061 d,1.16,39.1,Garden World,0,2020,GJ 1061
GJ 1132 b,1.192,59.21,Garden World,0,2015,GJ 1132
GJ 1132 c,1.43,33.78,Chthonian Planet,1,2018,GJ 1132
GJ 1148 b,11.9,82.17,Dwarf Planet,1,2010,GJ 1148
GJ 1148 c,9.71,40.73,Dwarf Planet,1,2017,GJ 1148
GJ 1151 c,3.25,45.61,Gas Giant,0,2023,GJ 1151
GJ 1214 b,2.733,73.22,Garden World,1,2009,GJ 1214
GJ 1252 b,1.193,37.87,Proto Planet,0,2020,GJ 1252
GJ 1265 b,2.63,22.22,Ice Giant,0,2018,GJ 1265
GJ 143 b,2.61,16.67,Ice Giant,1,2019,GJ 143
GJ 15 A b,1.55,111.11,Ice Giant,1,2014,GJ 15
GJ 15 A c,6.67,43.57,Dwarf Planet,1,2018,GJ 15
GJ 160.2 b,3.17,95.44,Garden World,0,2014,GJ 160.2
GJ 163 b,3.25,41.29,Gas Giant,1,2013,GJ 163
GJ 163 c,2.5,47.92,Proto Planet,1,2013,GJ 163
GJ 163 d,5.92,25.13,Dwarf Planet,1,2013,GJ 163
GJ 179 b,13.8,66.52,Gas Giant,1,2009,GJ 179
GJ 180 b,2.43,105.89,Dwarf Planet,1,2014,GJ 180
GJ 180 c,2.41,6.94,Gas Giant,0,2014,GJ 180
GJ 180 d,2.66,39.14,Ice Giant,0,2020,GJ 180
GJ 2030 b,2.03,113.97,Gas Giant,0,2022,GJ 2030
GJ 2030 c,12.3,8.24,Dwarf Planet,1,2022,GJ 2030
GJ 2056 b,4.17,87.3,Ice Giant,1,2020,GJ 2056
GJ 229 A c,2.87,47.1,Dwarf Planet,1,2020,GJ 229
GJ 229 b,3.97,113.61,Gas Giant,0,2014,GJ 229
GJ 238 b,0.566,31.01,Garden World,0,2024,GJ 238
GJ 251 b,1.83,51.57,Dwarf Planet,1,2020,GJ 251
GJ 27.1 b,3.66,52.17,Proto Planet,1,2014,GJ 27.1
GJ 273 b,1.51,113.56,Gas Giant,1,2017,GJ 273
GJ 273 c,1.06,17.65,Gas Giant,0,2017,GJ 273
GJ 3021 b,13.1,61.44,Chthonian Planet,1,2000,GJ 3021
GJ 3082 b,2.79,107.67,Garden World,1,2020,GJ 3082
GJ 3090 b,2.13,23.63,Chthonian Planet,1,2022,GJ 3090
GJ 3138 b,1.18,99.18,Chthonian Planet,1,2017,GJ 3138
GJ 3138 c,1.88,89.99,Proto Planet,1,2017,GJ 3138
GJ 3138 d,3.23,104.72,Gas Giant,0,2017,GJ 3138
GJ 317 b,13.3,15.22,Chthonian Planet,1,2007,GJ 317
GJ 317 c,13.5,20.37,Chthonian Planet,0,2018,GJ 317
GJ 3222 b,3.4,112.02,Ice Giant,1,2022,HIP 15799
GJ 328 b,13.3,90.84,Proto Planet,1,2013,GJ 328
GJ 328 c,4.91,7.16,Proto Planet,1,2023,GJ 328
GJ 3293 b,5.19,63,Gas Giant,0,2015,GJ 3293
GJ 3293 c,4.87,93.81,Dwarf Planet,0,2015,GJ 3293
GJ 3293 d,2.67,20.29,Chthonian Planet,0,2017,GJ 3293
GJ 3293 e,1.63,16.15,Chthonian Planet,1,2017,GJ 3293
GJ 3323 b,1.23,17.49,Proto Planet,0,2017,GJ 3323
GJ 3323 c,1.32,123.3,Dwarf Planet,0,2017,GJ 3323
GJ 3341 b,2.46,28.33,Dwarf Planet,0,2015,GJ 3341
GJ 338 B b,3.25,51.55,Dwarf Planet,0,2020,GJ 338
GJ 3470 b,4.57,34.39,Dwarf Planet,1,2012,GJ 3470
GJ 3473 b,1.264,82.77,Dwarf Planet,0,2020,GJ 3473
GJ 3473 c,2.63,0.4,Chthonian Planet,1,2020,GJ 3473
GJ 3512 b,14.3,52.82,Proto Planet,1,2019,GJ 3512
GJ 3512 c,9.32,100.79,Gas Giant,0,2020,GJ 3512
GJ 357 b,1.2,103.63,Chthonian Planet,1,2019,GJ 357
GJ 357 c,1.66,73.24,Gas Giant,0,2019,GJ 357
GJ 357 d,2.34,6.71,Proto Planet,0,2019,GJ 357
GJ 3634 b,2.83,76.17,Chthonian Planet,1,2010,GJ 3634
GJ 367 b,0.699,76.06,Proto Planet,1,2021,GJ 367
GJ 367 c,1.86,103.06,Dwarf Planet,1,2023,GJ 367
GJ 367 d,2.33,115.85,Garden World,1,2023,GJ 367
GJ 3779 b,2.75,106.38,Garden World,0,2018,GJ 3779
GJ 3929 b,1.09,61.4,Gas Giant,0,2022,GJ 3929
GJ 3929 c,2.26,87.52,Dwarf Planet,0,2022,GJ 3929
GJ 393 b,1.17,20.08,Proto Planet,1,2021,GJ 393
GJ 3942 b,2.57,6.39,Gas Giant,0,2017,GJ 3942
GJ 3988 b,1.74,46.23,Ice Giant,0,2023,GJ 3988
GJ 3998 b,1.38,7.56,Proto Planet,0,2016,GJ 3998
GJ 3998 c,2.38,9.84,Dwarf Planet,0,2016,GJ 3998
GJ 411 b,1.45,82.86,Chthonian Planet,0,2019,GJ 411
GJ 414 A b,2.63,26.23,Dwarf Planet,1,2021,GJ 414
GJ 414 A c,8.4,94.79,Proto Planet,1,2021,GJ 414
GJ 422 b,3.33,16.79,Proto Planet,1,2014,GJ 422
GJ 4276 b,4.22,84.13,Ice Giant,0,2019,GJ 4276
GJ 433 b,2.33,67.44,Ice Giant,0,2011,GJ 433
GJ 433 c,6.27,42.23,Ice Giant,1,2014,GJ 433
GJ 433 d,2.14,25.06,Chthonian Planet,1,2020,GJ 433
GJ 436 b,4.17,53.58,Ice Giant,0,2004,GJ 436
GJ 463 b,13,60.59,Ice Giant,1,2022,GJ 463
GJ 480 b,3.69,64.28,Ice Giant,0,2020,GJ 480
GJ 486 b,1.289,40.78,Gas Giant,0,2021,GJ 486
GJ 504 b,13,41.57,Ice Giant,0,2013,GJ 504
GJ 514 b,2.13,96.94,Ice Giant,1,2022,GJ 514
GJ 536 b,2.17,53.38,Ice Giant,1,2016,GJ 536
GJ 581 b,4.11,44.89,Garden World,1,2005,GJ 581
GJ 581 c,2.21,94.84,Proto Planet,0,2007,GJ 581
GJ 581 e,1.17,74.75,Proto Planet,1,2009,GJ 581
GJ 625 b,1.49,57.89,Ice Giant,0,2017,GJ 625
GJ 649 b,10.8,93.57,Gas Giant,0,2009,GJ 649
GJ 667 C b,2.25,36.61,Garden World,0,2012,GJ 667
GJ 667 C c,1.77,105.11,Gas Giant,1,2013,GJ 667
GJ 667 C e,1.45,47.81,Ice Giant,0,2013,GJ 667
GJ 667 C f,1.45,34.55,Gas Giant,0,2013,GJ 667
GJ 667 C g,1.99,74.8,Gas Giant,1,2013,GJ 667
GJ 674 b,3.33,38.58,Ice Giant,0,2007,GJ 674
GJ 676 A b,12.8,32.53,Dwarf Planet,1,2010,GJ 676
GJ 676 A c,12.3,65.88,Ice Giant,0,2016,GJ 676
GJ 676 A d,1.78,76.71,Chthonian Planet,1,2012,GJ 676
GJ 676 A e,2.47,36.6,Gas Giant,0,2012,GJ 676
GJ 680 b,12,122.94,Proto Planet,0,2022,HIP 86057
GJ 682 b,1.93,31.45,Gas Giant,1,2014,GJ 682
GJ 682 c,2.89,88.45,Ice Giant,1,2014,GJ 682
GJ 685 b,2.95,1.87,Garden World,1,2019,GJ 685
GJ 687 b,4.32,22.89,Gas Giant,1,2014,GJ 687
GJ 687 c,4.14,90.58,Gas Giant,1,2020,GJ 687
GJ 720 A b,3.77,31.69,Ice Giant,0,2021,GJ 720
GJ 724 b,3.27,107.78,Gas Giant,0,2023,GJ 724
GJ 740 b,1.53,80.43,Proto Planet,0,2021,GJ 740
GJ 806 b,1.331,98.25,Chthonian Planet,1,2023,GJ 806
GJ 806 c,2.28,81.71,Garden World,0,2023,GJ 806
GJ 832 b,13.8,110.69,Dwarf Planet,0,2008,GJ 832
GJ 849 b,13.9,63.1,Garden World,1,2006,GJ 849
GJ 849 c,13.8,103.84,Chthonian Planet,0,2014,GJ 849
GJ 86 b,12.9,93.03,Dwarf Planet,0,1999,GJ 86
GJ 876 b,13.3,76.01,Proto Planet,1,1998,GJ 876
GJ 876 c,14,120.32,Dwarf Planet,1,2000,GJ 876
GJ 876 d,2.51,44.3,Garden World,1,2005,GJ 876
GJ 876 e,3.92,95.07,Chthonian Planet,0,2010,GJ 876
GJ 887 b,1.88,76.41,Proto Planet,1,2020,GJ 887
GJ 887 c,2.67,79.75,Gas Giant,0,2020,GJ 887
GJ 896 A b,13.3,39.37,Proto Planet,0,2022,GJ 896
GJ 900 b,12.4,6.5,Ice Giant,0,2024,GJ 900
GJ 9066 c,9.6,72.33,Proto Planet,1,2020,GJ 9066
GJ 9404 b,3.48,37.27,Ice Giant,0,2023,GJ 9404
GJ 96 b,4.67,8.06,Proto Planet,1,2018,GJ 96
GJ 9689 b,3.07,98.81,Gas Giant,0,2020,GJ 9689
GJ 9714 b,12.5,31.82,Gas Giant,0,2022,HIP 103768
GJ 9827 b,1.44,45.32,Chthonian Planet,0,2017,GJ 9827
GJ 9827 c,1.13,11.88,Chthonian Planet,1,2017,GJ 9827
GJ 9827 d,1.98,3.08,Dwarf Planet,1,2017,GJ 9827
GPX-1 b,16.477,72.42,Ice Giant,0,2021,GPX-1
GQ Lup b,33.6,50.64,Proto Planet,1,2004,GQ Lup
GSC 06214-00210 b,20.176,69.63,Dwarf Planet,0,2010,GSC 06214-00210
GU Psc b,14.179,106.28,Garden World,1,2014,GU Psc
Gaia-1 b,13.776,62.13,Ice Giant,0,2022,Gaia-1
Gaia-2 b,14.818,49.78,Garden World,1,2022,Gaia-2
Gaia22dkvL b,14.1,119.7,Dwarf Planet,0,2024,Gaia22dkvL
Gl 378 b,3.66,79.35,Garden World,1,2019,Gl 378
Gl 49 b,2.24,25.07,Proto Planet,1,2019,Gl 49
Gl 686 b,2.46,111.01,Proto Planet,0,2018,Gl 686
Gliese 12 b,0.958,41.94,Proto Planet,1,2024,Gliese 12
HAT-P-1 b,14.785,80.63,Ice Giant,1,2006,HAT-P-1
HAT-P-11 b,4.901,26.71,Gas Giant,1,2008,HAT-P-11
HAT-P-11 c,13.3,79.97,Dwarf Planet,0,2018,HAT-P-11
HAT-P-12 b,10.749,47.22,Ice Giant,0,2009,HAT-P-12
HAT-P-13 b,14.258,3.58,Dwarf Planet,1,2009,HAT-P-13
HAT-P-13 c,12.3,58.74,Dwarf Planet,0,2009,HAT-P-13
HAT-P-14 b,15.917,92.52,Chthonian Planet,1,2010,HAT-P-14
HAT-P-15 b,11.882,63.6,Chthonian Planet,1,2010,HAT-P-15
HAT-P-16 b,14.448,113.69,Dwarf Planet,1,2010,HAT-P-16
HAT-P-17 b,11.769,55.26,Dwarf Planet,0,2010,HAT-P-17
HAT-P-17 c,13.1,112.46,Garden World,1,2010,HAT-P-17
HAT-P-18 b,11.153,37.59,Dwarf Planet,0,2010,HAT-P-18
HAT-P-19 b,11.299,23.27,Dwarf Planet,0,2010,HAT-P-19
HAT-P-2 b,10.66,30.69,Proto Planet,0,2007,HAT-P-2
HAT-P-2 c,12.4,99.22,Chthonian Planet,1,2023,HAT-P-2
HAT-P-20 b,9.718,38.39,Ice Giant,0,2010,HAT-P-20
HAT-P-21 b,12.442,63.72,Dwarf Planet,1,2010,HAT-P-21
HAT-P-22 b,12.89,104.4,Ice Giant,1,2010,HAT-P-22
HAT-P-23 b,15.334,16.1,Chthonian Planet,0,2010,HAT-P-23
HAT-P-24 b,14.572,42.11,Gas Giant,0,2010,HAT-P-24
HAT-P-25 b,12.722,90.2,Chthonian Planet,0,2010,HAT-P-25
HAT-P-26 b,7.062,48.43,Proto Planet,0,2010,HAT-P-26
HAT-P-27 b,11.43,55.99,Ice Giant,0,2011,HAT-P-27
HAT-P-28 b,13.585,122.01,Proto Planet,0,2011,HAT-P-28
HAT-P-29 b,13.115,97.99,Chthonian Planet,1,2011,HAT-P-29
HAT-P-3 b,10.536,8.69,Dwarf Planet,1,2007,HAT-P-3
HAT-P-30 b,16.141,93.21,Ice Giant,0,2011,HAT-P-30
HAT-P-31 b,12.218,120.02,Dwarf Planet,1,2011,HAT-P-31
HAT-P-32 b,22.194,60.34,Ice Giant,0,2011,HAT-P-32
HAT-P-33 b,20.737,82.35,Dwarf Planet,0,2011,HAT-P-33
HAT-P-34 b,13.417,99.59,Ice Giant,0,2011,HAT-P-34
HAT-P-35 b,14.93,40.04,Gas Giant,1,2011,HAT-P-35
HAT-P-36 b,14.314,101.04,Chthonian Planet,1,2011,HAT-P-36
HAT-P-37 b,13.204,16.49,Proto Planet,1,2011,HAT-P-37
HAT-P-38 b,9.247,3.28,Chthonian Planet,1,2012,HAT-P-38
HAT-P-39 b,17.609,49.12,Proto Planet,0,2012,HAT-P-39
HAT-P-4 b,14.28,39.48,Chthonian Planet,0,2007,HAT-P-4
HAT-P-40 b,17.038,102.73,Proto Planet,0,2012,HAT-P-40
HAT-P-41 b,22.978,119.94,Proto Planet,0,2012,HAT-P-41
HAT-P-42 b,14.348,56.55,Ice Giant,0,2012,HAT-P-42
HAT-P-43 b,13.63,10.22,Gas Giant,1,2012,HAT-P-43
HAT-P-44 b,13.922,2.95,Proto Planet,0,2014,HAT-P-44
